feature,mean_abs_shap
WP_avg_fav,0.27426440876527775
z_avg_fav,0.1713620539945828
z_rel,0.10001207021667713
AgeDiff,0.0893638184259229
WP_avg_entropy,0.07468947265945368
EffSurfFocusFavDiff,0.06971477670863557
DaysSinceLossDiff,0.054278404301817636
WP_range,0.04376984056171895
WP_std,0.03663897556467775
DaysSinceWinDiff,0.029527974179144354
WinRateTotalSmoothedDiff,0.021214082536177348
SurfaceUpliftDiff,0.02068519435300533
dZ_H2HM_M_abs,0.0171013463029455
FavSurfaceUplift,0.01559772757697617
PrizeLog,0.01514845951559258
RecencySlope_MminusY,0.01454214540914904
dWP_H2HM_M_abs,0.012714017412009258
GameWinRateEffSurfDiff,0.012102312050517155
TSScale_avg,0.011565031970737707
RestDaysFavMinusOpp,0.01085486781362175
AgeDiff_sq,0.01060115422316159
OppSurfaceUplift,0.010241015603102544
EffSurfMatchesLogFavDiff,0.00886636484830314
z_std_fav,0.008680094403990275
EffSurfWeight,0.008180300285628637
SeasonMonth_sin,0.008167779133873692
RecencySlopeEff_MminusY,0.007640540988619112
H2H_conflict_weighted,0.007126265659309227
WinRateEffSurfDiff,0.006883193533070938
FormCompositeDiff,0.006751420109937295
PrimeProxAdv,0.0054202313227094
WinRateEffSurfSmoothedDiff,0.005087003825397826
SetWinRateEffSurfDiff,0.004133169817020888
FormEffSurfCompositeDiff,0.003761061462418649
PlaysMismatch,0.003552756725707057
SeasonMonth_cos,0.0034872599859495177
IsSurf4,0.0033682815822445034
IsSurf2,0.0027348501846246906
StreakDiff,0.0023113365784322003
RecencySlope_WminusM,0.0022296959954187256
H2HWinRateSmoothedDiff,0.0012806143843557673
FavIsHome,0.0012565567638629037
RecencySlopeEff_WminusM,0.0011603128512799718
H2HSmoothedWeighted,0.0009353725309222969
H2HMatches,0.0007385071774311754
FavHome_S2,0.0006490147371250185
IsSurf1,0.000605149729597502
IsSurf3,0.0004628735899845237
FavHome_S1,0.00034419369738616603
PrizeMissing,0.0001269690315859627
FavHome_S4,0.0
FavHome_S3,0.0
