tag,rows,auc,brier,ece,calib
R0_ALL,1239796,0.7501608906697286,0.17472050234739955,0.004847207718125744,isotonic(prefit)
R1_ALL,367511,0.6842157194507441,0.20439389730991764,0.006861086302681554,isotonic(prefit)
R0_CLAY,580637,0.7517622234044473,0.17322596980677482,0.006934094679592987,isotonic(prefit)
R1_CLAY,155239,0.6801805996111737,0.20563046818096217,0.017872254015267132,isotonic(prefit)
R0_HARD,464178,0.7499027059789751,0.17373298389522093,0.00872644627091694,isotonic(prefit)
R1_HARD,135382,0.6828116021212991,0.20358340114828113,0.013762753625638625,isotonic(prefit)
R0_GRASS,26731,0.6888878638344638,0.20188654066217834,0.021346764705863983,sigmoid(prefit)
R1_GRASS,16053,0.6402201701835387,0.21721250782970367,0.03061984886996348,sigmoid(prefit)
