feature,mean_abs_shap
z_rel,0.370489805207956
WP_avg_fav,0.3633964499944041
WP_avg_entropy,0.16542170976379944
WP_range,0.11337929919852992
GameWinRateEffSurfDiff,0.07927153773220079
DaysSinceLossDiff,0.07424843447337495
WP_std,0.07116519562359076
WinRateTotalSmoothedDiff,0.06914549218030534
z_avg_fav,0.05763245260426354
AgeDiff,0.054410498150595316
WinRateEffSurfDiff,0.0386147532483883
EffSurfMatchesLogFavDiff,0.03803181701429302
TSScale_avg,0.03660828675662152
RestDaysFavMinusOpp,0.03489761930939458
OppSurfaceUplift,0.033360990986092603
z_std_fav,0.032623367113809185
FavSurfaceUplift,0.029613052494262333
EffSurfFocusFavDiff,0.02566642624312165
WinRateEffSurfSmoothedDiff,0.025241222974446764
DaysSinceWinDiff,0.024438874992995428
SeasonMonth_cos,0.023137019866906108
EffSurfWeight,0.02238825839982393
PrizeLog,0.02169762402470712
RecencySlopeEff_MminusY,0.017569230150096878
SetWinRateEffSurfDiff,0.017310645341411614
RecencySlope_WminusM,0.01438970364648735
SeasonMonth_sin,0.013618743447547505
SurfaceUpliftDiff,0.013316561576023596
RecencySlope_MminusY,0.013226320389832139
FormEffSurfCompositeDiff,0.011905250437477963
FormCompositeDiff,0.010297009928600663
AgeDiff_sq,0.008889542701295028
RecencySlopeEff_WminusM,0.008240745106729706
PrimeProxAdv,0.0075946859939296455
StreakDiff,0.0072741925390886605
PrizeMissing,0.004859122138316994
FavIsHome,0.004376364391375419
PlaysMismatch,0.00018551654314014418
IsSurf1,0.0
FavHome_S4,0.0
FavHome_S3,0.0
FavHome_S2,0.0
FavHome_S1,0.0
IsSurf4,0.0
IsSurf2,0.0
IsSurf3,0.0
