feature,mean_abs_shap
WP_avg_fav,0.2919458817991258
z_rel,0.21725070078773212
z_avg_fav,0.14026458459161603
EffSurfFocusFavDiff,0.09915551949779809
DaysSinceLossDiff,0.07045891270877204
EffSurfMatchesLogFavDiff,0.06596374243384595
GameWinRateEffSurfDiff,0.0655034779491715
AgeDiff,0.06417652728777555
WinRateEffSurfSmoothedDiff,0.06312029252882817
AgeDiff_sq,0.051552437736722544
TSScale_avg,0.04672009432378834
FavSurfaceUplift,0.04430765472909156
PrimeProxAdv,0.03388232684639566
RecencySlopeEff_MminusY,0.03183958111167064
RecencySlope_MminusY,0.030737096286667345
EffSurfWeight,0.027035585143575444
OppSurfaceUplift,0.025939294902567085
z_std_fav,0.02420047729091081
WinRateEffSurfDiff,0.023457811162160565
RestDaysFavMinusOpp,0.02317886901720133
WinRateTotalSmoothedDiff,0.02272123937723365
WP_range,0.02256186943023257
PrizeLog,0.016802901851812435
SurfaceUpliftDiff,0.015287118371341746
WP_avg_entropy,0.01505303035955553
FormEffSurfCompositeDiff,0.014887548810699727
DaysSinceWinDiff,0.010544626117092584
RecencySlope_WminusM,0.010243086689163947
WP_std,0.010007287740247053
FormCompositeDiff,0.009543258838945473
SetWinRateEffSurfDiff,0.007808576063315591
StreakDiff,0.00778558749149269
RecencySlopeEff_WminusM,0.005094332756277766
SeasonMonth_sin,0.0025971983802760795
PlaysMismatch,0.0024355096182643293
FavIsHome,0.001123863839097792
PrizeMissing,0.0007360929724415203
SeasonMonth_cos,2.6099167020445026e-05
IsSurf1,0.0
FavHome_S4,0.0
FavHome_S3,0.0
FavHome_S2,0.0
FavHome_S1,0.0
IsSurf4,0.0
IsSurf2,0.0
IsSurf3,0.0
